Afaraf,aa
Afrikaans,af
Akan,ak
Shqip,sq
አማርኛ,am
العربية,ar
aragonés,an
Հայերեն,hy
অসমীয়া,as
"авар мацӀ, магӀарул мацӀ",av
avesta,ae
aymar aru,ay
"azərbaycan dili, تۆرکجه",az
bamanankan,bm
башҡорт теле,ba
"euskara, euskera",eu
беларуская мова,be
বাংলা,bn
भोजपुरी,bh
Bislama,bi
bosanski jezik,bs
brezhoneg,br
български език,bg
ဗမာစာ,my
"català, valencià",ca
Chamoru,ch
нохчийн мотт,ce
"chiCheŵa, chinyanja",ny
"中文 (Zhōngwén), 汉语, 漢語",zh
чӑваш чӗлхи,cv
Kernewek,kw
"corsu, lingua corsa",co
ᓀᐦᐃᔭᐍᐏᐣ,cr
hrvatski jezik,hr
"čeština, český jazyk",cs
dansk,da
ދިވެހި,dv
"Nederlands, Vlaams",nl
རྫོང་ཁ,dz
English,en
Esperanto,eo
"eesti, eesti keel",et
Eʋegbe,ee
føroyskt,fo
vosa Vakaviti,fj
"suomi, suomen kieli",fi
"français, langue française",fr
"Fulfulde, Pulaar, Pular",ff
Galego,gl
ქართული,ka
Deutsch,de
ελληνικά,el
Avañe'ẽ,gn
ગુજરાતી,gu
Kreyòl ayisyen,ht
(Hausa) هَوُسَ,ha
עברית,he
Otjiherero,hz
"हिन्दी, हिंदी",hi
Hiri Motu,ho
magyar,hu
Interlingua,ia
Bahasa Indonesia,id
"(originally:) Occidental, (after WWII:) Interlingue",ie
Gaeilge,ga
Asụsụ Igbo,ig
"Iñupiaq, Iñupiatun",ik
Ido,io
Íslenska,is
Italiano,it
ᐃᓄᒃᑎᑐᑦ,iu
日本語 (にほんご),ja
"ꦧꦱꦗꦮ, Basa Jawa",jv
"kalaallisut, kalaallit oqaasii",kl
ಕನ್ನಡ,kn
Kanuri,kr
"कश्मीरी" ,ks
қазақ тілі,kk
"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km
Gĩkũyũ,ki
Ikinyarwanda,rw
"Кыргызча, Кыргыз тили",ky
коми кыв,kv
Kikongo,kg
한국어,ko
"Kurdî",ku
Kuanyama,kj
"latine, lingua latina",la
Lëtzebuergesch,lb
Luganda,lg
Limburgs,li
Lingála,ln
ພາສາລາວ,lo
lietuvių kalba,lt
Kiluba,lu
latviešu valoda,lv
"Gaelg, Gailck",gv
македонски јазик,mk
fiteny malagasy,mg
"Bahasa Melayu",ms
മലയാളം,ml
Malti,mt
te reo Māori,mi
मराठी,mr
Kajin M̧ajeļ,mh
Монгол хэл,mn
Dorerin Naoero,na
Diné bizaad,nv
isiNdebele,nd
नेपाली,ne
Owambo,ng
Norsk Bokmål,nb
Norsk Nynorsk,nn
Norsk,no
ꆈꌠ꒿ Nuosuhxop,ii
isiNdebele,nr
"occitan, lenga d'òc",oc
ᐊᓂᔑᓈᐯᒧᐎᓐ,oj
ѩзыкъ словѣньскъ,cu
Afaan Oromoo,om
ଓଡ଼ିଆ,or
ирон æвзаг,os
"ਪੰਜਾਬੀ",pa
"पालि, पाळि",pi
فارسی,fa
"język polski, polszczyzna",pl
پښتو,ps
Português,pt
"Runa Simi, Kichwa",qu
Rumantsch Grischun,rm
Ikirundi,rn
"Română, Moldovenească",ro
русский,ru
"संस्कृतम्, 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍",sa
sardu,sc
"सिन्धी",sd
Davvisámegiella,se
gagana fa'a Samoa,sm
yângâ tî sängö,sg
српски језик,sr
Gàidhlig,gd
chiShona,sn
සිංහල,si
"Slovenčina, Slovenský jazyk",sk
"Slovenski jezik, Slovenščina",sl
"Soomaaliga, af Soomaali",so
Sesotho,st
Español,es
Basa Sunda,su
Kiswahili,sw
SiSwati,ss
Svenska,sv
தமிழ்,ta
తెలుగు,te
"тоҷикӣ, toçikī",tg
ไทย,th
ትግርኛ,ti
བོད་ཡིག,bo
"Türkmen, Түркмен",tk
Wikang Tagalog,tl
Setswana,tn
Faka Tonga,to
Türkçe,tr
Xitsonga,ts
"татар теле, tatar tele",tt
Twi,tw
Reo Tahiti,ty
"Uyghurche",ug
Українська,uk
اردو,ur
"Oʻzbek, Ўзбек",uz
Tshivenḓa,ve
Tiếng Việt,vi
Volapük,vo
Walon,wa
Cymraeg,cy
Wollof,wo
Frysk,fy
isiXhosa,xh
ייִדיש,yi
Yorùbá,yo
"Saɯ cueŋƅ, Saw cuengh",za
isiZulu,zu
